delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,HH Gibbs,DW Steyn,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.2,HH Gibbs,DW Steyn,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.3,HH Gibbs,DW Steyn,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.4,AC Gilchrist,DW Steyn,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RV Uthappa'], 'kind': 'caught', 'player_out': 'AC Gilchrist'}",0.0,0.0,0.0,0,0,caught,AC Gilchrist,['RV Uthappa'],0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.5,TL Suman,DW Steyn,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LRPL Taylor'], 'kind': 'caught', 'player_out': 'TL Suman'}",0.0,0.0,0.0,0,0,caught,TL Suman,['LRPL Taylor'],0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.6,RG Sharma,DW Steyn,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.1,HH Gibbs,R Vinay Kumar,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.2,HH Gibbs,R Vinay Kumar,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.3,HH Gibbs,R Vinay Kumar,0,RG Sharma,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.4,HH Gibbs,R Vinay Kumar,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.5,RG Sharma,R Vinay Kumar,{'legbyes': 2},HH Gibbs,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,0.0,2.0,0,0,0,0,0,0,2,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.6,RG Sharma,R Vinay Kumar,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.1,HH Gibbs,DW Steyn,0,RG Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.2,HH Gibbs,DW Steyn,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.3,HH Gibbs,DW Steyn,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'HH Gibbs'}",0.0,0.0,0.0,0,0,bowled,HH Gibbs,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.4,MD Mishra,DW Steyn,{'wides': 1},RG Sharma,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.5,MD Mishra,DW Steyn,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.6,MD Mishra,DW Steyn,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.7,MD Mishra,DW Steyn,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.1,MD Mishra,R Vinay Kumar,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.2,RG Sharma,R Vinay Kumar,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.3,RG Sharma,R Vinay Kumar,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.4,RG Sharma,R Vinay Kumar,0,MD Mishra,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.5,RG Sharma,R Vinay Kumar,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.6,RG Sharma,R Vinay Kumar,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.1,RG Sharma,DW Steyn,{'legbyes': 2},MD Mishra,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,0.0,2.0,0,0,0,0,0,0,2,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.2,RG Sharma,DW Steyn,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.3,RG Sharma,DW Steyn,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.4,MD Mishra,DW Steyn,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.5,MD Mishra,DW Steyn,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
4.6,RG Sharma,DW Steyn,0,MD Mishra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.1,MD Mishra,JH Kallis,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.2,MD Mishra,JH Kallis,0,RG Sharma,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.3,MD Mishra,JH Kallis,0,RG Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.4,MD Mishra,JH Kallis,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.5,RG Sharma,JH Kallis,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
5.6,RG Sharma,JH Kallis,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.1,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.2,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.3,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.4,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.5,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
6.6,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.1,RG Sharma,V Kohli,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.2,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.3,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.4,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.5,RG Sharma,V Kohli,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
7.6,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.1,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.2,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.3,RG Sharma,A Kumble,{'noballs': 1},MD Mishra,"{'batsman': 1, 'extras': 1, 'total': 2}",0,0.0,1.0,0.0,0,0,0,0,0,1,1,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.4,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.5,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.6,MD Mishra,A Kumble,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
8.7,RG Sharma,A Kumble,0,MD Mishra,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.1,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.2,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.3,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.4,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.5,MD Mishra,V Kohli,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
9.6,RG Sharma,V Kohli,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
10.1,RG Sharma,KP Appanna,0,MD Mishra,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
10.2,RG Sharma,KP Appanna,0,MD Mishra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
10.3,RG Sharma,KP Appanna,0,MD Mishra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Nagpur,2010-04-12,male,T20,0,Deccan Chargers,runs,13,0,0,0,0,Harmeet Singh,20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha"
