delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AJ Finch,BW Hilfenhaus,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
0.2,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
0.3,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
0.4,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
0.5,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
0.6,AJ Finch,BW Hilfenhaus,{'legbyes': 2},S Dhawan,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,0,2.0,0.0,0,0,0,0,0,2,2,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.1,S Dhawan,IC Pandey,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.2,AJ Finch,IC Pandey,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.3,AJ Finch,IC Pandey,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.4,AJ Finch,IC Pandey,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.5,S Dhawan,IC Pandey,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
1.6,S Dhawan,IC Pandey,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.1,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.2,S Dhawan,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['M Manhas'], 'kind': 'caught', 'player_out': 'S Dhawan'}",0.0,0,0.0,0.0,0,caught,S Dhawan,['M Manhas'],0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.3,DA Warner,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.4,DA Warner,BW Hilfenhaus,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'DA Warner'}",0.0,0,0.0,0.0,0,lbw,DA Warner,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.5,KL Rahul,BW Hilfenhaus,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
2.6,AJ Finch,BW Hilfenhaus,0,KL Rahul,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.1,KL Rahul,IC Pandey,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.2,AJ Finch,IC Pandey,{'legbyes': 4},KL Rahul,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0,4.0,0.0,0,0,0,0,0,4,4,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.3,AJ Finch,IC Pandey,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.4,KL Rahul,IC Pandey,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.5,KL Rahul,IC Pandey,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
3.6,AJ Finch,IC Pandey,0,KL Rahul,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.1,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.2,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.3,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.4,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.5,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
4.6,KL Rahul,MM Sharma,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.1,KL Rahul,R Ashwin,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.2,AJ Finch,R Ashwin,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.3,KL Rahul,R Ashwin,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.4,AJ Finch,R Ashwin,0,KL Rahul,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.5,AJ Finch,R Ashwin,{'legbyes': 1},KL Rahul,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
5.6,KL Rahul,R Ashwin,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
6.1,KL Rahul,RA Jadeja,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
6.2,AJ Finch,RA Jadeja,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,0,2014-04-27,male,T20,1,Chennai Super Kings,wickets,5,0,0,0,0,DR Smith,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium
