delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,ST Jayasuriya,DP Nannes,{'wides': 3},SR Tendulkar,"{'batsman': 0, 'extras': 3, 'total': 3}",0,3.0,0.0,0.0,0.0,0,0,0,0,0,3,3,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.2,ST Jayasuriya,DP Nannes,0,SR Tendulkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.3,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.4,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.5,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.6,ST Jayasuriya,DP Nannes,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
0.7,ST Jayasuriya,DP Nannes,{'legbyes': 1},SR Tendulkar,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.1,ST Jayasuriya,MF Maharoof,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.2,ST Jayasuriya,MF Maharoof,0,SR Tendulkar,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.3,ST Jayasuriya,MF Maharoof,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.4,ST Jayasuriya,MF Maharoof,0,SR Tendulkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.5,SR Tendulkar,MF Maharoof,0,ST Jayasuriya,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
1.6,SR Tendulkar,MF Maharoof,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.1,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.2,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.3,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.4,ST Jayasuriya,DP Nannes,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.5,ST Jayasuriya,DP Nannes,0,SR Tendulkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
2.6,SR Tendulkar,DP Nannes,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.1,SR Tendulkar,MF Maharoof,0,ST Jayasuriya,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.2,SR Tendulkar,MF Maharoof,0,ST Jayasuriya,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.3,SR Tendulkar,MF Maharoof,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.4,ST Jayasuriya,MF Maharoof,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Y Nagar (sub)'], 'kind': 'caught', 'player_out': 'ST Jayasuriya'}",0.0,0.0,0.0,0.0,0,caught,ST Jayasuriya,['Y Nagar (sub)'],0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.5,SR Tendulkar,MF Maharoof,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
3.6,SR Tendulkar,MF Maharoof,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.1,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.2,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.3,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.4,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.5,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
4.6,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.1,SR Tendulkar,S Ladda,0,AP Tare,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.2,AP Tare,S Ladda,0,SR Tendulkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.3,AP Tare,S Ladda,0,SR Tendulkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.4,SR Tendulkar,S Ladda,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.5,SR Tendulkar,S Ladda,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
5.6,SR Tendulkar,S Ladda,{'legbyes': 1},AP Tare,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
6.1,SR Tendulkar,PJ Sangwan,0,AP Tare,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
6.2,AP Tare,PJ Sangwan,0,SR Tendulkar,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Delhi,2010-03-17,male,T20,0,Mumbai Indians,runs,98,0,0,0,0,SR Tendulkar,20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla
